Episode(timeslot),agent,reward,action
1000,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1001,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1002,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1003,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1004,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1005,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1006,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1007,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1008,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1009,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1010,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1011,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1012,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1013,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1014,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1015,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1016,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1017,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1018,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1019,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1020,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1021,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1022,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1023,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1024,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1025,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1026,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1027,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1028,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1029,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1030,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1031,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1032,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1033,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1034,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1035,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1036,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1037,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1038,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1039,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1040,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1041,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1042,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1043,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1044,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1045,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1046,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1047,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1048,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1049,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1050,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1051,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1052,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1053,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1054,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1055,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1056,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1057,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1058,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1059,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1060,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1061,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1062,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1063,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1064,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1065,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1066,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1067,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1068,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1069,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1070,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1071,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1072,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1073,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1074,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1075,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1076,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1077,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
1078,1,2.4603588581085205,[0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1]
